arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
src/supervision/metrics/utils/object_size.py,arquivo,,12,77,53,106,89,159,525.5621,1029.6416,8.2597,8504.5723,472.4762,0.3432
src/supervision/detection/utils/boxes.py,arquivo,,12,77,60,105,89,165,525.5621,1068.496,8.1818,8742.2401,485.68,0.3562
src/supervision/draw/color.py,arquivo,,13,78,60,110,91,170,538.3671,1106.3251,9.1667,10141.3133,563.4063,0.3688
src/supervision/detection/utils/masks.py,arquivo,,14,90,61,117,104,178,637.5697,1192.6783,9.1,10853.3723,602.9651,0.3976
src/supervision/detection/utils/internal.py,arquivo,,16,99,64,119,115,183,720.3063,1252.7247,9.6162,12046.403,669.2446,0.4176
src/supervision/draw/utils.py,arquivo,,13,57,57,109,70,166,380.5804,1017.461,12.4298,12646.8615,702.6034,0.3392
src/supervision/detection/tools/inference_slicer.py,arquivo,,15,110,70,134,125,204,804.5529,1421.02,9.1364,12982.9554,721.2753,0.4737
src/supervision/detection/utils/converters.py,arquivo,,17,116,77,148,133,225,865.0127,1587.4385,10.8448,17215.4974,956.4165,0.5291
src/supervision/utils/image.py,arquivo,,16,130,93,177,146,270,976.9078,1941.2526,10.8923,21144.721,1174.7067,0.6471
src/supervision/metrics/recall.py,arquivo,,16,135,95,184,151,279,1019.3701,2019.5149,10.9037,22020.1923,1223.344,0.6732
src/supervision/metrics/detection.py,arquivo,,18,147,97,182,165,279,1133.4105,2055.2039,11.1429,22900.8434,1272.2691,0.6851
src/supervision/key_points/core.py,arquivo,,14,158,115,214,172,329,1207.3003,2443.2411,9.481,23164.3998,1286.9111,0.8144
src/supervision/metrics/mean_average_recall.py,arquivo,,17,134,96,186,151,282,1016.3428,2041.2301,11.7985,24083.469,1337.9705,0.6804
src/supervision/metrics/f1_score.py,arquivo,,16,149,106,206,165,312,1139.6561,2298.2925,11.0604,25420.0409,1412.2245,0.7661
src/supervision/detection/vlm.py,arquivo,,17,151,108,201,168,309,1162.486,2284.2261,11.3146,25845.0349,1435.8353,0.7614
src/supervision/key_points/annotators.py,arquivo,,18,121,97,180,139,277,912.2411,1971.9467,13.3884,26401.2696,1466.7372,0.6573
src/supervision/metrics/precision.py,arquivo,,16,150,112,218,166,330,1148.3228,2433.763,11.6267,28296.5513,1572.0306,0.8113
src/supervision/annotators/utils.py,arquivo,,18,135,110,213,153,323,1030.4288,2344.1363,14.2,33286.7351,1849.2631,0.7814
src/supervision/detection/line_zone.py,arquivo,,19,146,117,221,165,338,1130.425,2489.8169,14.3801,35803.9082,1989.106,0.8299
src/supervision/detection/core.py,arquivo,,18,262,177,342,280,519,2179.8155,4219.0979,11.7481,49566.3484,2753.686,1.4064
src/supervision/detection/compact_mask.py,arquivo,,19,207,169,324,226,493,1673.2624,3855.3482,14.8696,57327.3519,3184.8529,1.2851
src/supervision/detection/utils/iou_and_nms.py,arquivo,,20,337,218,417,357,635,2916.0944,5384.6605,12.3739,66629.1815,3701.6212,1.7949
src/supervision/metrics/mean_average_precision.py,arquivo,,21,314,244,445,335,689,2696.7496,5779.3439,14.8806,85999.9504,4777.775,1.9264
src/supervision/annotators/core.py,arquivo,,22,385,434,825,407,1259,3404.7626,10914.1262,23.5714,257261.546,14292.3081,3.638
