arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
src/supervision/tracker/byte_tracker/core.py,funcao,update_with_tensors,1,10,6,12,11,18,33.2193,62.2698,0.6,37.3619,2.0757,0.0208
src/supervision/tracker/byte_tracker/core.py,funcao,_split_by_confidence,3,6,6,11,9,17,20.2647,53.8887,2.75,148.194,8.233,0.018
src/supervision/tracker/byte_tracker/core.py,funcao,_build_stracks,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
src/supervision/tracker/byte_tracker/core.py,funcao,_separate_tracks,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
src/supervision/tracker/byte_tracker/core.py,funcao,_first_association,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
src/supervision/tracker/byte_tracker/core.py,funcao,_second_association,2,3,3,6,5,9,6.7549,20.8974,2.0,41.7947,2.3219,0.007
src/supervision/tracker/byte_tracker/core.py,funcao,_unconfirmed_and_init_new,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
src/supervision/tracker/byte_tracker/core.py,funcao,_remove_stale_lost_tracks,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
src/supervision/tracker/byte_tracker/core.py,funcao,_update_state,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
src/supervision/tracker/byte_tracker/core.py,funcao,joint_tracks,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
src/supervision/tracker/byte_tracker/core.py,funcao,sub_tracks,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/core.py,funcao,remove_duplicate_tracks,4,9,6,12,13,18,36.5293,66.6079,2.6667,177.6211,9.8678,0.0222
src/supervision/tracker/byte_tracker/kalman_filter.py,funcao,__init__,3,6,6,12,9,18,20.2647,57.0587,3.0,171.176,9.5098,0.019
src/supervision/tracker/byte_tracker/kalman_filter.py,funcao,initiate,1,16,12,24,17,36,64.0,147.1487,0.75,110.3615,6.1312,0.049
src/supervision/tracker/byte_tracker/kalman_filter.py,funcao,predict,2,10,7,14,12,21,35.2193,75.2842,1.4,105.3979,5.8554,0.0251
src/supervision/tracker/byte_tracker/kalman_filter.py,funcao,project,2,6,4,8,8,12,17.5098,36.0,1.3333,48.0,2.6667,0.012
src/supervision/tracker/byte_tracker/kalman_filter.py,funcao,multi_predict,2,14,9,18,16,27,55.303,108.0,1.2857,138.8571,7.7143,0.036
src/supervision/tracker/byte_tracker/kalman_filter.py,funcao,update,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
src/supervision/tracker/byte_tracker/matching.py,funcao,indices_to_matches,2,6,3,6,8,9,17.5098,27.0,1.0,27.0,1.5,0.009
src/supervision/tracker/byte_tracker/matching.py,funcao,linear_assignment,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
src/supervision/tracker/byte_tracker/matching.py,funcao,iou_distance,5,12,7,14,17,21,54.6292,85.8367,2.9167,250.3571,13.9087,0.0286
src/supervision/tracker/byte_tracker/matching.py,funcao,fuse_score,3,7,4,8,10,12,24.4064,39.8631,1.7143,68.3368,3.7965,0.0133
src/supervision/tracker/byte_tracker/single_object_track.py,funcao,__post_init__,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/single_object_track.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/single_object_track.py,funcao,state,0,0,0,0,0,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/single_object_track.py,funcao,is_activated,0,0,0,0,0,0,0,0,0,0,0,0
